"Status","Name","Duration in ms","Description"
"passed","test_login.TestLogin.test_login[18610453007-123456-itheima-None]","57836",""
"passed","test_login.TestLogin.test_login[18610453007-12345-None-\u767b\u5f55\u5bc6\u7801\u9519\u8bef]","6385",""
